Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
CSCI 117i,E,DATA VISUALIZATION,3,"D 1400-1530
(ONSITE)",F-227,"GAMBOA, Lance Calvin",32,ENG,U,-2,-,S,N
CSCI 117i,G,DATA VISUALIZATION,3,"D 1700-1830
(ONSITE)",F-227,"GAMBOA, Lance Calvin, MAGPANTAY, Abraham",32,ENG,U,-3,-,S,N
CSCI 117i,H,DATA VISUALIZATION,3,"D 1830-2000
(ONSITE)",F-227,"MAGPANTAY, Abraham",20,ENG,U,-2,-,N,N
CSCI 134.1i,D,INTERACTIVE SOUND ART INSTALLATION,3,"D 1230-1400
(ONSITE)",CTC 112,"AMANTE, Francesco",25,ENG,U,0,1 SLOT(S) FOR 4TH YEAR AB IS MAJORS.,N,N
CSCI 142i,A1,HUMAN COMPUTER INTERACTION,3,"D 0800-0930
(ONSITE)",F-227,"AGAPITO, JENILYN L.",20,ENG,U,-2,8 SLOT(S) FOR DISCS STUDENTS. 5 SLOT(S) FOR AB IS MAJORS.,N,N
CSCI 142i,A2,HUMAN COMPUTER INTERACTION,3,"D 0800-0930
(ONSITE)",F-228,"CASANO, JONATHAN DL.",25,ENG,U,-3,*FOR NON DISCS MAJORS.,N,N
CSP 61i,B,SCIENCE AND TECHNOLOGY IN CHINA,3,"D 0930-1100
(ONSITE)",LH 206,"SEE, MARY KIMBERLIE C.",30,ENG,U,-2,-,N,N
DEV 181.4i,D,SPECIAL TOPICS IN HUMANITARIAN ACTION: HUMAN RIGHTS AND DEVELOPMENT,3,"D 1230-1400
(ONSITE)",SOM 204,"LIBREA, ROSETTE GILDA C.",30,ENG,U,2,ALL SLOTS FOR DEVELOPMENT MANAGEMENT MINORS/SPECIALIZATION. ALL SLOTS FOR HEALTH AND DEVELOPMENT MINORS. ALL SLOTS FOR HUMANITARIAN ACTION MINORS. ALL SLOTS FOR DEVELOPMENT AND THE LAW MINORS/SPECIALIZATION.,N,N
DEV 189.83i,C,SPECIAL TOPICS IN CONTEMPORARY DEVELOPMENT ISSUES: SURVEY OF PUBLIC HEALTH INTERVENTIONS,3,"D 1100-1230
(ONSITE)",CTC 202,"MEDINA, Erron",30,ENG,U,-1,*ALL SLOTS FOR HEALTH & DEVELOPMENT MINOR. ALL SLOTS FOR URBAN & REGIONAL DEVELOPMENT MINOR. ALL SLOTS FOR DEVELOPMENT & THE LAW MINOR.,N,N
ECON 185.65i,L,ECONOMICS OF LABOR AND EMPLOYMENT LAW,3,"M-W-F 1530-1800
(ONSITE)",CTC 302,"GAMBOA, Jayvy",30,ENG,U,0,-,N,N
ECON 185.65i,M,ECONOMICS OF LABOR AND EMPLOYMENT LAW,3,"M-W-F 1800-2030
(ONSITE)",CTC 106,"GAMBOA, Jayvy",30,ENG,U,0,-,N,N
ECON 185.69i,F,"LAW, ECONOMICS, AND PUBLIC POLICY",3,"D 1530-1700
(ONSITE)",CTC 106,"CRUZ, JAN FREDRICK P.",30,ENG,U,-1,-,N,N
ECON 185.69i,H,"LAW, ECONOMICS, AND PUBLIC POLICY",3,"D 1830-2000
(ONSITE)",CTC 206,"CRUZ, JAN FREDRICK P.",30,ENG,U,3,-,N,N
EDUC 101i,I,HISTORICAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION,3,"M-W-F 0800-1030
(ONSITE)",SS-282,"ALVAREZ, SJ, FR. FRANCIS",27,~,U,-4,-,N,N
EDUC 132i,J,EDUCATIONAL PSYCHOLOGY,3,"M-W-F 1030-1300
(ONSITE)",SS-282,"CHING, JERALDINE K.",27,~,U,-6,-,N,N
ENE 13.03i,A,STORY AND NARRATIVE IN THE HUMANITIES,3,"D 0800-0930
(ONSITE)",CTC 104,"LACSON, KATARINA A.",30,ENG,U,0,-,N,N
